column_name,role,data_type,nullable,source_field,question_id,question_type,applicable_categories,allowed_values,missing_meaning,description
sample_id,identifier,string,no,sampleId,,,All Other App Types || Game || Social or Communication,,,Stable sample identifier; exclude from model features.
category,raw_feature_candidate,categorical string,no,category,,,All Other App Types || Game || Social or Communication,All Other App Types || Game || Social or Communication,,Questionnaire category. Encoding belongs to task 4.
answer__alcohol_533c1b5c,raw_feature_candidate,categorical string,no,questionStates.options[selected=true],alcohol_533c1b5c,checkbox,All Other App Types || Game,Encourages/Glamorizes || Reference || Use || __NONE__ || __INACTIVE__ || __NOT_APPLICABLE__,__INACTIVE__=branch inactive; __NOT_APPLICABLE__=question not used by category; __NONE__=active checkbox with no selection.,Alcohol
answer__are_there_any_fierce_sounds_sinister_or_intimidating_cha_c6faf05f,raw_feature_candidate,categorical string,no,questionStates.options[selected=true],are_there_any_fierce_sounds_sinister_or_intimidating_cha_c6faf05f,radio,All Other App Types || Game,No || Yes || __INACTIVE__ || __NOT_APPLICABLE__,__INACTIVE__=branch inactive; __NOT_APPLICABLE__=question not used by category; __NONE__=active checkbox with no selection.,"Are there any fierce sounds, sinister or intimidating characters, or dark overtones associated with this violence?"
answer__are_there_detailed_descriptions_of_techniques_that_could_207c80c9,raw_feature_candidate,categorical string,no,questionStates.options[selected=true],are_there_detailed_descriptions_of_techniques_that_could_207c80c9,radio,Game,No || Yes || __INACTIVE__ || __NOT_APPLICABLE__,__INACTIVE__=branch inactive; __NOT_APPLICABLE__=question not used by category; __NONE__=active checkbox with no selection.,Are there detailed descriptions of techniques that could be used in criminal offenses?
answer__are_these_crimes_or_criminal_techniques_likely_to_be_imi_3820601a,raw_feature_candidate,categorical string,no,questionStates.options[selected=true],are_these_crimes_or_criminal_techniques_likely_to_be_imi_3820601a,radio,Game,No || Yes || __INACTIVE__ || __NOT_APPLICABLE__,__INACTIVE__=branch inactive; __NOT_APPLICABLE__=question not used by category; __NONE__=active checkbox with no selection.,Are these crimes or criminal techniques likely to be imitated by children or youths?
answer__are_these_dating_games_prominently_featured_or_a_strong__aaafc141,raw_feature_candidate,categorical string,no,questionStates.options[selected=true],are_these_dating_games_prominently_featured_or_a_strong__aaafc141,radio,Game,No || Yes || __INACTIVE__ || __NOT_APPLICABLE__,__INACTIVE__=branch inactive; __NOT_APPLICABLE__=question not used by category; __NONE__=active checkbox with no selection.,Are these dating games prominently featured or a strong focus of the product?
answer__are_these_depictions_strictly_limited_to_slapstick_viole_d3c73bb1,raw_feature_candidate,categorical string,no,questionStates.options[selected=true],are_these_depictions_strictly_limited_to_slapstick_viole_d3c73bb1,radio,All Other App Types,No || Yes || __INACTIVE__ || __NOT_APPLICABLE__,__INACTIVE__=branch inactive; __NOT_APPLICABLE__=question not used by category; __NONE__=active checkbox with no selection.,"Are these depictions strictly limited to slapstick violence or bloodless, unrealistic, and cartoony depictions?"
answer__are_these_gambling_themes_prominently_featured_or_a_stro_d54762be,raw_feature_candidate,categorical string,no,questionStates.options[selected=true],are_these_gambling_themes_prominently_featured_or_a_stro_d54762be,radio,All Other App Types || Game,No || Yes || __INACTIVE__ || __NOT_APPLICABLE__,__INACTIVE__=branch inactive; __NOT_APPLICABLE__=question not used by category; __NONE__=active checkbox with no selection.,Are these gambling themes prominently featured or a strong focus of the product?
answer__are_these_revealing_outfits_ever_depicted_in_an_erotic_o_a25a70b0,raw_feature_candidate,categorical string,no,questionStates.options[selected=true],are_these_revealing_outfits_ever_depicted_in_an_erotic_o_a25a70b0,radio,All Other App Types || Game,No || Yes || __INACTIVE__ || __NOT_APPLICABLE__,__INACTIVE__=branch inactive; __NOT_APPLICABLE__=question not used by category; __NONE__=active checkbox with no selection.,Are these revealing outfits ever depicted in an erotic or provocative setting or context?
