sample_id,split,category,territory,authority,rating_label,content_descriptors,interactive_elements,warning
all_other_app_types_balanced_00002,train,All Other App Types,Brazil,Classificação Indicativa (ClassInd),All ages,,,
all_other_app_types_balanced_00002,train,All Other App Types,North America,Entertainment Software Rating Board (ESRB),Everyone,Mild Fantasy Violence,,
all_other_app_types_balanced_00002,train,All Other App Types,Europe,Pan-European Game Information (PEGI),PEGI 7,Implied Violence,,
all_other_app_types_balanced_00002,train,All Other App Types,Germany,Unterhaltungssoftware Selbstkontrolle (USK),USK: Ages 6+,Abstract Violence,,
all_other_app_types_balanced_00002,train,All Other App Types,Rest of world,IARC Generic,Rated for 7+,Implied Violence,,
all_other_app_types_balanced_00002,train,All Other App Types,Russia,Google Play,Rated for 7+,Implied Violence,,
all_other_app_types_balanced_00002,train,All Other App Types,South Korea,Google Play,Rated for 7+,Implied Violence,,"Games that aren't suitable for users under 19 may be removed from Google Play in South Korea, unless they're rated by GRAC."
all_other_app_types_balanced_00003,test,All Other App Types,Brazil,Classificação Indicativa (ClassInd),All ages,,,
all_other_app_types_balanced_00003,test,All Other App Types,North America,Entertainment Software Rating Board (ESRB),Teen,Violence Blood,,
all_other_app_types_balanced_00003,test,All Other App Types,Europe,Pan-European Game Information (PEGI),PEGI 3,,,
all_other_app_types_balanced_00003,test,All Other App Types,Germany,Unterhaltungssoftware Selbstkontrolle (USK),USK: Ages 6+,Abstract Violence,,
all_other_app_types_balanced_00003,test,All Other App Types,Rest of world,IARC Generic,Rated for 3+,,,
all_other_app_types_balanced_00003,test,All Other App Types,Russia,Google Play,Rated for 3+,,,
all_other_app_types_balanced_00003,test,All Other App Types,South Korea,Google Play,Rated for 3+,,,"Games that aren't suitable for users under 19 may be removed from Google Play in South Korea, unless they're rated by GRAC."
all_other_app_types_balanced_00004,train,All Other App Types,Brazil,Classificação Indicativa (ClassInd),Rated 10+,Violence,,
all_other_app_types_balanced_00004,train,All Other App Types,North America,Entertainment Software Rating Board (ESRB),Teen,Violence Blood,,
all_other_app_types_balanced_00004,train,All Other App Types,Europe,Pan-European Game Information (PEGI),PEGI 12,Moderate Violence,,
all_other_app_types_balanced_00004,train,All Other App Types,Germany,Unterhaltungssoftware Selbstkontrolle (USK),USK: Ages 6+,Abstract Violence,,
all_other_app_types_balanced_00004,train,All Other App Types,Rest of world,IARC Generic,Rated for 12+,Moderate Violence,,
all_other_app_types_balanced_00004,train,All Other App Types,Russia,Google Play,Rated for 12+,Moderate Violence,,
all_other_app_types_balanced_00004,train,All Other App Types,South Korea,Google Play,Rated for 12+,Moderate Violence,,"Games that aren't suitable for users under 19 may be removed from Google Play in South Korea, unless they're rated by GRAC."
all_other_app_types_balanced_00005,test,All Other App Types,Brazil,Classificação Indicativa (ClassInd),Rated 14+,Violence,,
all_other_app_types_balanced_00005,test,All Other App Types,North America,Entertainment Software Rating Board (ESRB),Teen,Violence Blood,,
all_other_app_types_balanced_00005,test,All Other App Types,Europe,Pan-European Game Information (PEGI),PEGI 16,Strong Violence,,
all_other_app_types_balanced_00005,test,All Other App Types,Germany,Unterhaltungssoftware Selbstkontrolle (USK),USK: Ages 16+,Violence,,
all_other_app_types_balanced_00005,test,All Other App Types,Rest of world,IARC Generic,Rated for 16+,Strong Violence,,
all_other_app_types_balanced_00005,test,All Other App Types,Russia,Google Play,Rated for 16+,Strong Violence,,
all_other_app_types_balanced_00005,test,All Other App Types,South Korea,Google Play,Rated for 16+,Strong Violence,,"Games that aren't suitable for users under 19 may be removed from Google Play in South Korea, unless they're rated by GRAC."
all_other_app_types_balanced_00006,train,All Other App Types,Brazil,Classificação Indicativa (ClassInd),Rated 16+,Violence,,
all_other_app_types_balanced_00006,train,All Other App Types,North America,Entertainment Software Rating Board (ESRB),Mature 17+,Violence Blood,,
all_other_app_types_balanced_00006,train,All Other App Types,Europe,Pan-European Game Information (PEGI),PEGI 18,Extreme Violence,,
all_other_app_types_balanced_00006,train,All Other App Types,Germany,Unterhaltungssoftware Selbstkontrolle (USK),USK: Ages 18+,Violence,,
all_other_app_types_balanced_00006,train,All Other App Types,Rest of world,IARC Generic,Rated for 18+,Extreme Violence,,
all_other_app_types_balanced_00006,train,All Other App Types,Russia,Google Play,Rated for 18+,Extreme Violence,,
all_other_app_types_balanced_00006,train,All Other App Types,South Korea,Google Play,Rated for 19+,Extreme Violence,,"Games that aren't suitable for users under 19 may be removed from Google Play in South Korea, unless they're rated by GRAC."
all_other_app_types_balanced_00007,test,All Other App Types,Brazil,Classificação Indicativa (ClassInd),All ages,Violence,,
all_other_app_types_balanced_00007,test,All Other App Types,North America,Entertainment Software Rating Board (ESRB),Everyone,Mild Fantasy Violence,,
all_other_app_types_balanced_00007,test,All Other App Types,Europe,Pan-European Game Information (PEGI),PEGI 7,Mild Violence,,
all_other_app_types_balanced_00007,test,All Other App Types,Germany,Unterhaltungssoftware Selbstkontrolle (USK),USK: Ages 12+,Fantasy Violence,,
all_other_app_types_balanced_00007,test,All Other App Types,Rest of world,IARC Generic,Rated for 7+,Mild Violence,,
all_other_app_types_balanced_00007,test,All Other App Types,Russia,Google Play,Rated for 7+,Mild Violence,,
all_other_app_types_balanced_00007,test,All Other App Types,South Korea,Google Play,Rated for 7+,Mild Violence,,"Games that aren't suitable for users under 19 may be removed from Google Play in South Korea, unless they're rated by GRAC."
all_other_app_types_balanced_00008,train,All Other App Types,Brazil,Classificação Indicativa (ClassInd),All ages,Violence,,
all_other_app_types_balanced_00008,train,All Other App Types,North America,Entertainment Software Rating Board (ESRB),Everyone 10+,Fantasy Violence,,
all_other_app_types_balanced_00008,train,All Other App Types,Europe,Pan-European Game Information (PEGI),PEGI 12,Moderate Violence,,
all_other_app_types_balanced_00008,train,All Other App Types,Germany,Unterhaltungssoftware Selbstkontrolle (USK),USK: Ages 6+,Abstract Violence,,
all_other_app_types_balanced_00008,train,All Other App Types,Rest of world,IARC Generic,Rated for 12+,Moderate Violence,,
all_other_app_types_balanced_00008,train,All Other App Types,Russia,Google Play,Rated for 12+,Moderate Violence,,
all_other_app_types_balanced_00008,train,All Other App Types,South Korea,Google Play,Rated for 12+,Moderate Violence,,"Games that aren't suitable for users under 19 may be removed from Google Play in South Korea, unless they're rated by GRAC."
all_other_app_types_balanced_00009,train,All Other App Types,Brazil,Classificação Indicativa (ClassInd),All ages,,,
all_other_app_types_balanced_00009,train,All Other App Types,North America,Entertainment Software Rating Board (ESRB),Everyone,Mild Fantasy Violence,,
all_other_app_types_balanced_00009,train,All Other App Types,Europe,Pan-European Game Information (PEGI),PEGI 7,Fear,,
all_other_app_types_balanced_00009,train,All Other App Types,Germany,Unterhaltungssoftware Selbstkontrolle (USK),USK: Ages 6+,Scary Moments,,
all_other_app_types_balanced_00009,train,All Other App Types,Rest of world,IARC Generic,Rated for 7+,Fear,,
all_other_app_types_balanced_00009,train,All Other App Types,Russia,Google Play,Rated for 7+,Fear,,
all_other_app_types_balanced_00009,train,All Other App Types,South Korea,Google Play,Rated for 7+,Fear,,"Games that aren't suitable for users under 19 may be removed from Google Play in South Korea, unless they're rated by GRAC."
all_other_app_types_balanced_00010,train,All Other App Types,Brazil,Classificação Indicativa (ClassInd),Rated 10+,Fear,,
all_other_app_types_balanced_00010,train,All Other App Types,North America,Entertainment Software Rating Board (ESRB),Everyone 10+,Fantasy Violence,,
