sample_id,split,category,sampling_strategy,state_source,source_result_dir,source_schema_version
all_other_app_types_balanced_00002,train,All Other App Types,balanced_ladder,browser_snapshot,rating_results_snapshot_upgrade,2
all_other_app_types_balanced_00003,test,All Other App Types,balanced_ladder,browser_snapshot,rating_results_snapshot_upgrade,2
all_other_app_types_balanced_00004,train,All Other App Types,balanced_ladder,browser_snapshot,rating_results_snapshot_upgrade,2
all_other_app_types_balanced_00005,test,All Other App Types,balanced_ladder,browser_snapshot,rating_results_snapshot_upgrade,2
all_other_app_types_balanced_00006,train,All Other App Types,balanced_ladder,browser_snapshot,rating_results_snapshot_upgrade,2
all_other_app_types_balanced_00007,test,All Other App Types,balanced_ladder,browser_snapshot,rating_results_snapshot_upgrade,2
all_other_app_types_balanced_00008,train,All Other App Types,balanced_ladder,reconstructed_from_graph_and_baseline,rating_results_historical_failures_retry,1
all_other_app_types_balanced_00009,train,All Other App Types,balanced_ladder,browser_snapshot,rating_results_snapshot_upgrade,2
all_other_app_types_balanced_00010,train,All Other App Types,balanced_ladder,browser_snapshot,rating_results_snapshot_upgrade,2
all_other_app_types_balanced_00011,train,All Other App Types,balanced_ladder,browser_snapshot,rating_results_snapshot_upgrade,2
all_other_app_types_balanced_00012,train,All Other App Types,balanced_ladder,browser_snapshot,rating_results_snapshot_upgrade,2
all_other_app_types_balanced_00013,train,All Other App Types,balanced_ladder,browser_snapshot,rating_results_snapshot_upgrade,2
all_other_app_types_balanced_00014,test,All Other App Types,balanced_ladder,browser_snapshot,rating_results_snapshot_upgrade,2
all_other_app_types_balanced_00015,train,All Other App Types,balanced_ladder,browser_snapshot,rating_results_snapshot_upgrade,2
all_other_app_types_balanced_00016,train,All Other App Types,balanced_ladder,reconstructed_from_graph_and_baseline,rating_results_balanced_all_other_tail,1
all_other_app_types_balanced_00017,train,All Other App Types,balanced_ladder,browser_snapshot,rating_results_snapshot_upgrade,2
all_other_app_types_balanced_00018,test,All Other App Types,balanced_ladder,browser_snapshot,rating_results_snapshot_upgrade,2
all_other_app_types_balanced_00019,train,All Other App Types,balanced_ladder,browser_snapshot,rating_results_snapshot_upgrade,2
all_other_app_types_balanced_00020,test,All Other App Types,balanced_ladder,browser_snapshot,rating_results_snapshot_upgrade,2
all_other_app_types_balanced_00021,train,All Other App Types,balanced_ladder,browser_snapshot,rating_results_snapshot_upgrade,2
