sample_id,label,label_id
all_other_app_types_balanced_00002,Everyone,0
all_other_app_types_balanced_00006,Mature 17+,3
all_other_app_types_balanced_00008,Everyone 10+,1
all_other_app_types_balanced_00009,Everyone,0
all_other_app_types_balanced_00010,Everyone 10+,1
all_other_app_types_balanced_00011,Teen,2
all_other_app_types_balanced_00012,Teen,2
all_other_app_types_balanced_00013,Teen,2
all_other_app_types_balanced_00015,Teen,2
all_other_app_types_balanced_00016,Teen,2
all_other_app_types_balanced_00017,Mature 17+,3
all_other_app_types_balanced_00019,Teen,2
all_other_app_types_balanced_00021,Everyone,0
all_other_app_types_balanced_00030,Everyone,0
all_other_app_types_balanced_00031,Everyone 10+,1
all_other_app_types_balanced_00033,Mature 17+,3
all_other_app_types_balanced_00034,Everyone,0
all_other_app_types_balanced_00037,Mature 17+,3
all_other_app_types_balanced_00039,Teen,2
all_other_app_types_balanced_00040,Teen,2
all_other_app_types_balanced_00041,Teen,2
all_other_app_types_balanced_00042,Teen,2
all_other_app_types_balanced_00044,Everyone 10+,1
all_other_app_types_balanced_00045,Teen,2
all_other_app_types_balanced_00046,Teen,2
all_other_app_types_balanced_00049,Everyone,0
all_other_app_types_balanced_00052,Mature 17+,3
all_other_app_types_balanced_00055,Adults only 18+,4
all_other_app_types_balanced_00057,Mature 17+,3
all_other_app_types_balanced_00059,Everyone,0
all_other_app_types_balanced_00060,Everyone,0
all_other_app_types_balanced_00061,Everyone,0
all_other_app_types_balanced_00063,Mature 17+,3
all_other_app_types_risk_00002,Adults only 18+,4
all_other_app_types_risk_00003,Teen,2
all_other_app_types_risk_00004,Teen,2
all_other_app_types_risk_00005,Adults only 18+,4
all_other_app_types_risk_00006,Adults only 18+,4
all_other_app_types_risk_00007,Adults only 18+,4
all_other_app_types_risk_00008,Teen,2
all_other_app_types_risk_00010,Mature 17+,3
all_other_app_types_risk_00012,Mature 17+,3
all_other_app_types_risk_00016,Mature 17+,3
all_other_app_types_risk_00018,Teen,2
all_other_app_types_risk_00019,Everyone,0
all_other_app_types_risk_00020,Teen,2
all_other_app_types_risk_00021,Teen,2
all_other_app_types_risk_00022,Adults only 18+,4
all_other_app_types_risk_00025,Teen,2
all_other_app_types_risk_00026,Mature 17+,3
all_other_app_types_risk_00027,Mature 17+,3
all_other_app_types_risk_00028,Everyone 10+,1
all_other_app_types_risk_00029,Adults only 18+,4
all_other_app_types_risk_00031,Teen,2
all_other_app_types_risk_00033,Adults only 18+,4
all_other_app_types_risk_00034,Mature 17+,3
all_other_app_types_risk_00035,Adults only 18+,4
all_other_app_types_risk_00037,Mature 17+,3
all_other_app_types_risk_00041,Mature 17+,3
all_other_app_types_risk_00043,Mature 17+,3
all_other_app_types_risk_00044,Mature 17+,3
all_other_app_types_risk_00045,Teen,2
all_other_app_types_risk_00048,Teen,2
all_other_app_types_risk_00049,Teen,2
all_other_app_types_risk_00057,Teen,2
all_other_app_types_risk_00063,Teen,2
all_other_app_types_risk_00065,Adults only 18+,4
all_other_app_types_risk_00068,Teen,2
all_other_app_types_risk_00070,Teen,2
all_other_app_types_risk_00076,Everyone 10+,1
all_other_app_types_risk_00094,Everyone,0
all_other_app_types_risk_00097,Everyone,0
all_other_app_types_risk_00108,Adults only 18+,4
all_other_app_types_risk_00109,Adults only 18+,4
all_other_app_types_risk_00110,Adults only 18+,4
all_other_app_types_risk_00111,Adults only 18+,4
all_other_app_types_risk_00112,Adults only 18+,4
all_other_app_types_risk_00113,Adults only 18+,4
all_other_app_types_risk_00117,Adults only 18+,4
all_other_app_types_risk_00119,Adults only 18+,4
all_other_app_types_risk_00120,Adults only 18+,4
all_other_app_types_risk_00121,Adults only 18+,4
all_other_app_types_risk_00122,Adults only 18+,4
all_other_app_types_risk_00123,Adults only 18+,4
all_other_app_types_risk_00127,Adults only 18+,4
all_other_app_types_risk_00128,Adults only 18+,4
all_other_app_types_risk_00137,Adults only 18+,4
all_other_app_types_risk_00139,Adults only 18+,4
all_other_app_types_risk_00142,Adults only 18+,4
all_other_app_types_risk_00143,Adults only 18+,4
all_other_app_types_risk_00147,Adults only 18+,4
all_other_app_types_risk_00148,Adults only 18+,4
all_other_app_types_risk_00150,Adults only 18+,4
all_other_app_types_risk_00151,Adults only 18+,4
all_other_app_types_risk_00155,Adults only 18+,4
all_other_app_types_risk_00156,Adults only 18+,4
all_other_app_types_risk_00157,Adults only 18+,4
all_other_app_types_risk_00158,Adults only 18+,4
all_other_app_types_risk_00159,Adults only 18+,4
all_other_app_types_risk_00160,Adults only 18+,4
all_other_app_types_risk_00161,Adults only 18+,4
all_other_app_types_risk_00167,Adults only 18+,4
all_other_app_types_risk_00171,Adults only 18+,4
all_other_app_types_risk_00178,Adults only 18+,4
all_other_app_types_risk_00180,Adults only 18+,4
all_other_app_types_risk_00181,Adults only 18+,4
all_other_app_types_risk_00184,Adults only 18+,4
all_other_app_types_risk_00185,Adults only 18+,4
all_other_app_types_risk_00186,Adults only 18+,4
auto_all_other_app_types_00bf53d4bf1d0679,Everyone 10+,1
auto_all_other_app_types_029aec124b2c0df2,Teen,2
auto_all_other_app_types_05dfa0563cf1dd17,Everyone,0
auto_all_other_app_types_07a64e1da664258a,Teen,2
auto_all_other_app_types_0a3d31dd42d7db23,Adults only 18+,4
auto_all_other_app_types_162b1d0596597781,Everyone,0
auto_all_other_app_types_16951f34c39b7686,Teen,2
auto_all_other_app_types_19808f273c047682,Teen,2
auto_all_other_app_types_19fce6ec84befb94,Adults only 18+,4
auto_all_other_app_types_2448a2b58680be8d,Mature 17+,3
auto_all_other_app_types_27f6898663cf49b3,Everyone 10+,1
auto_all_other_app_types_2f5d66c32db500c5,Mature 17+,3
auto_all_other_app_types_2fef39f79b870fbd,Mature 17+,3
auto_all_other_app_types_39c206448a8cd94d,Mature 17+,3
auto_all_other_app_types_3a648a2f762866e6,Mature 17+,3
auto_all_other_app_types_3ef7e06a468dbc31,Mature 17+,3
auto_all_other_app_types_40ad155d72a69663,Teen,2
auto_all_other_app_types_44437a848a4f836e,Teen,2
auto_all_other_app_types_47d96006a33b9a4a,Adults only 18+,4
auto_all_other_app_types_4ae635e041362d7d,Mature 17+,3
auto_all_other_app_types_4de31862ed28b495,Teen,2
auto_all_other_app_types_4fc99c6b9038fbb4,Mature 17+,3
auto_all_other_app_types_5dd4f7c8b6619c95,Teen,2
auto_all_other_app_types_600d459b3bf244d5,Mature 17+,3
auto_all_other_app_types_62e1f4f69fd7b9ed,Teen,2
auto_all_other_app_types_6843d8645fde8eeb,Teen,2
auto_all_other_app_types_6d662d2041e65364,Everyone,0
auto_all_other_app_types_78b50238dc1257f7,Teen,2
auto_all_other_app_types_8455687762dba7d7,Everyone,0
auto_all_other_app_types_8682c7255376b478,Mature 17+,3
auto_all_other_app_types_904012f8b1647482,Teen,2
auto_all_other_app_types_9bc3f47f0f4859ee,Teen,2
auto_all_other_app_types_9ff94b152f10634e,Teen,2
auto_all_other_app_types_a8ea2a0779609700,Teen,2
auto_all_other_app_types_ac42a56bcc848722,Teen,2
auto_all_other_app_types_af1f78f9c582b495,Mature 17+,3
auto_all_other_app_types_b318f007aa098a2e,Teen,2
auto_all_other_app_types_b46731efd7aa62f2,Teen,2
auto_all_other_app_types_b7db4c82ba8d8320,Mature 17+,3
auto_all_other_app_types_be518b2b48b4b354,Teen,2
auto_all_other_app_types_bf5d97d5cfad61ba,Teen,2
auto_all_other_app_types_c047b0ffdfd8f891,Mature 17+,3
auto_all_other_app_types_c2e28e3b70f716de,Teen,2
auto_all_other_app_types_c77db03da1f53903,Teen,2
auto_all_other_app_types_c831b9ac360d8eae,Teen,2
